,Country Name,Happiness score,Unnamed: 0,Country Code,LifeExpMean,SuicideMean,UnempMean
0,Finland,7.821,55,FIN,81.65170732,15.32,8.178000069
1,Denmark,7.636,43,DNK,81.01268293,11.04,5.65
2,Iceland,7.557,70,ISL,82.67170732,12.44,3.182000017
3,Switzerland,7.512,152,CHE,83.54195122,14.54,4.724000072
4,Netherlands,7.415,112,NLD,81.75121951,11.8,4.986000061
5,Luxembourg,7.404,94,LUX,82.40146341,10.82,5.932000065
6,Sweden,7.384,151,SWE,82.51804878,14.98,6.865999889
7,Norway,7.365,118,NOR,82.60780488,12.2,4.125999975
8,Israel,7.364,76,ISR,82.52341463,5.1,4.413999987
9,New Zealand,7.2,113,NZL,81.65873171,11.8,4.747999954
10,Austria,7.163,7,AUT,81.61268293,15.44,5.313999939
11,Australia,7.162,6,AUS,82.5995122,12.68,5.562000084
12,Ireland,7.041,75,IRL,82.03414634,9.76,7.13599987
13,Germany,7.034,60,DEU,80.96195122,12.82,3.801999998
14,Canada,7.025,29,CAN,81.9595122,12.34,6.347999954
15,United States,6.977,167,USA,78.63902439,15.44,4.41600008
16,United Kingdom,6.943,166,GBR,81.16585366,8.3,4.436000014
18,Belgium,6.805,14,BEL,81.50292683,18.76,6.941999912
19,France,6.687,56,FRA,82.59463415,14.66,9.448000144
20,Bahrain,6.647,10,BHR,79.7054,8.14,1.194599986
21,Slovenia,6.63,140,SVN,81.17756098,19.7,6.615999985
22,Costa Rica,6.582,38,CRI,79.3666,7.16,9.372000122
23,United Arab Emirates,6.576,165,ARE,79.483,6.1,2.09000001
24,Saudi Arabia,6.523,134,SAU,77.1316,6.18,5.768599987
26,Singapore,6.48,138,SGP,83.11560976,9.54,3.762599897
27,Romania,6.477,129,ROU,75.2795122,10.34,5.148000002
28,Spain,6.476,145,ESP,83.34146342,7.88,17.65199966
29,Uruguay,6.474,168,URY,77.5596,20.58,8.088000011
30,Italy,6.467,77,ITA,83.11560976,6.84,11.07199974
32,Malta,6.447,100,MLT,82.40097561,6.12,4.270000029
33,Lithuania,6.446,93,LTU,75.28731707,30.18,7.292000103
34,Slovak Republic,6.391,139,SVK,77.16536585,12.26,8.313999938
35,Estonia,6.341,51,EST,78.04292683,16.1,5.706000042
36,Panama,6.309,121,PAN,77.7178,3.04,3.731599951
37,Brazil,6.293,21,BRA,74.8096,6.48,11.42200012
38,Guatemala,6.262,63,GTM,72.5728,5.8,2.403999996
39,Kazakhstan,6.234,81,KAZ,72.732,20.46,4.888000011
40,Cyprus,6.221,42,CYP,81.2258,4.16,10.86999998
41,Latvia,6.18,88,LVA,74.77219512,20.5,8.390000057
42,Serbia,6.178,136,SRB,75.66829268,10.98,13.9039999
43,Chile,6.172,32,CHL,80.1268,9.42,6.946000004
44,Nicaragua,6.165,114,NIC,73.5394,4.38,4.462199926
45,Mexico,6.128,103,MEX,74.2898,5.56,3.669999981
46,Croatia,6.125,40,HRV,77.92390244,16.5,11.10800018
47,Poland,6.123,126,POL,77.71268293,13.4,5.135999918
48,El Salvador,6.12,48,SLV,72.2528,6.16,4.198000049
49,Kuwait,6.106,85,KWT,79.6902,2.72,2.177800036
50,Hungary,6.086,69,HUN,75.96682927,18.08,4.642000008
51,Mauritius,6.071,102,MUS,74.38297561,8.76,6.745999908
52,Uzbekistan,6.063,169,UZB,70.9466,8.74,5.57699995
53,Japan,6.039,79,JPN,84.08917073,17.12,2.820000028
54,Honduras,6.022,68,HND,72.6924,2.44,5.952000046
55,Portugal,6.016,127,PRT,81.33463414,11.96,9.165999793
56,Argentina,5.967,4,ARG,76.8368,8.62,8.608400154
57,Greece,5.948,62,GRC,81.42780488,5,21.30600014
58,"Korea, Rep.",5.935,84,KOR,82.55609756,27.64,3.684000015
59,Philippines,5.904,125,PHL,71.545,2.22,2.579999971
60,Thailand,5.891,156,THA,78.3594,8.5,0.722000003
61,Moldova,5.857,104,MDA,70.22,15.22,4.405999947
62,Jamaica,5.85,78,JAM,71.977,2.28,11.02400007
63,Kyrgyz Republic,5.828,86,KGZ,71.1604878,8.44,7.092800045
64,Belarus,5.821,13,BLR,73.99658537,23.16,5.250000095
65,Colombia,5.781,34,COL,76.5748,4.18,8.98599987
66,Bosnia and Herzegovina,5.768,19,BIH,76.8518,10.68,21.54400005
67,Mongolia,5.761,105,MNG,70.5242,19.16,5.855800057
68,Dominican Republic,5.737,45,DOM,73.1624,5.72,6.588000107
69,Malaysia,5.711,97,MYS,75.4526,5.28,3.301999998
70,Bolivia,5.6,18,BOL,67.6472,6.38,3.519999981
71,China,5.585,33,CHN,77.431,8.12,4.480000114
72,Paraguay,5.578,123,PRY,73.5116,5.82,5.446000004
73,Peru,5.559,124,PER,75.8908,2.72,3.514000034
74,Montenegro,5.547,106,MNE,76.58,20.96,16.32399998
75,Ecuador,5.533,46,ECU,76.983,8.54,3.879999924
76,Vietnam,5.485,172,VNM,73.9692,7.64,1.753999996
77,Turkmenistan,5.474,162,TKM,68.8546,5.94,4.202800083
79,Russian Federation,5.459,130,RUS,72.20643902,28.68,5.138000012
81,Armenia,5.399,5,ARM,74.9018,4.06,18.17000008
82,Tajikistan,5.377,154,TJK,69.996,4.22,7.096199989
83,Nepal,5.377,111,NPL,68.7358,8.7,3.115199995
84,Bulgaria,5.371,23,BGR,74.86341463,9.84,6.462000084
85,Libya,5.33,92,LBY,72.2386,5.28,19.50800018
86,Indonesia,5.24,72,IDN,70.0578,2.4,4.142000103
88,North Macedonia,5.199,117,MKD,76.00146341,9.32,22.03399963
89,Albania,5.199,1,ALB,79.0034,4.6,14.00000019
90,South Africa,5.194,143,ZAF,65.1896,24.34,26.82200012
91,Azerbaijan,5.173,8,AZE,72.313,4.04,4.942000008
92,"Gambia, The",5.164,58,GMB,63.0594,4.9,9.484799957
93,Bangladesh,5.155,11,BGD,71.7484,3.52,4.387400055
95,Algeria,5.122,2,DZA,75.9274,2.56,10.53519993
96,Liberia,5.122,91,LBR,60.4148,4.48,2.85079999
97,Ukraine,5.084,164,UKR,71.57136585,21.42,8.996000099
98,"Congo, Dem. Rep.",5.075,36,COD,59.437,6.6,4.46200018
99,Morocco,5.06,107,MAR,73.624,7.22,9.309399986
100,Mozambique,5.048,108,MOZ,59.7304,13.6,3.450000048
101,Cameroon,5.048,28,CMR,60.693,9.12,3.596200037
102,Senegal,5.046,135,SEN,67.7498,6.2,4.209000063
103,Niger,5.003,115,NER,62.0446,5.32,0.540999997
104,Georgia,4.973,59,GEO,73.4494,9.88,14.25799999
105,Gabon,4.958,57,GAB,66.072,8.92,20.69880066
106,Iraq,4.941,74,IRQ,70.3862,3.86,12.07880001
107,"Venezuela, RB",4.925,171,VEN,72.2294,2.2,5.313600064
108,Guinea,4.891,64,GIN,59.015,7.04,4.943999958
109,"Iran, Islamic Rep.",4.888,73,IRN,75.7986,5.88,11.78999977
110,Ghana,4.872,61,GHA,63.988,6.94,5.029799938
112,Burkina Faso,4.67,24,BFA,59.5586,7.72,4.540200043
113,Cambodia,4.64,27,KHM,70.373,5,0.308000005
114,Benin,4.623,16,BEN,59.8732,7.96,1.683800006
115,Comoros,4.609,35,COM,63.5476,5.44,8.097000122
116,Uganda,4.603,163,UGA,62.1108,4.56,1.922199988
117,Nigeria,4.552,116,NGA,52.3306,3.6,7.349200058
118,Kenya,4.543,82,KEN,62.431,5.72,3.66180005
119,Tunisia,4.516,161,TUN,75.8532,3.16,15.32800007
120,Pakistan,4.516,120,PAK,66.2224,9,3.777399969
122,Mali,4.479,99,MLI,59.0566,4.16,7.515999985
123,Namibia,4.459,110,NAM,62.0672,10.56,21.15359993
124,Eswatini,4.396,52,SWZ,57.9066,31.24,22.88619995
125,Myanmar,4.394,109,MMR,66.0328,3.04,0.975399995
126,Sri Lanka,4.362,146,LKA,75.4834,14.5,4.296000004
127,Madagascar,4.339,95,MDG,65.1164,5.5,1.823599982
128,"Egypt, Arab Rep.",4.288,47,EGY,71.0708,3.1,10.97199993
129,Chad,4.251,31,TCD,52.4128,6.64,1.109399986
130,Ethiopia,4.241,53,ETH,64.8258,5.44,2.301000023
131,"Yemen, Rep.",4.197,173,YEM,65.5122,5.7,13.34020004
132,Mauritania,4.153,101,MRT,65.0666,3.06,10.30339985
133,Jordan,4.152,80,JOR,75.5092,1.54,16.31599979
134,Togo,4.112,158,TGO,60.049,9.1,3.270800066
135,India,3.777,71,IND,70.368,12.34,5.363199902
136,Zambia,3.76,174,ZMB,62.0514,8.22,11.43140011
137,Malawi,3.75,96,MWI,62.7918,5.84,5.790199947
138,Tanzania,3.702,155,TZA,65.912,4.22,2.18119998
139,Sierra Leone,3.574,137,SLE,58.8592,6.34,4.675400066
140,Lesotho,3.512,90,LSO,52.867,81.34,23.1538002
141,Botswana,3.471,20,BWA,65.3842,17.54,21.56939964
142,Rwanda,3.268,131,RWA,65.9328,5.64,1.127600002
143,Zimbabwe,2.995,175,ZWE,60.6624,15.58,4.796000004
144,Lebanon,2.955,89,LBN,79.4706,2.76,10.30400009
145,Afghanistan,2.404,0,AFG,63.0914,4.06,11.16680012