,Country Name,Country Code,Region,Happiness Score,Life Expectancy,Suicide Rate,Unemployment Rate,Net National Income per capita,GDP,Inflation
1,Albania,ALB,europe,5.199,79.0034,4.6,14.00000019,10948438941,13365200472,1.726728005
2,Algeria,DZA,africa,5.122,75.9274,2.56,10.53519993,1.34994E+11,1.68558E+11,4.599003227
4,Armenia,ARM,europe,5.399,74.9018,4.06,18.17000008,10392423379,11740832933,1.452263466
5,Australia,AUS,asia,7.162,82.5995122,12.68,5.562000084,1.04077E+12,1.34084E+12,1.651234779
6,Austria,AUT,europe,7.163,81.61268293,15.44,5.313999939,3.40093E+11,4.18936E+11,1.479739932
7,Azerbaijan,AZE,europe,5.173,72.313,4.04,4.942000008,34737682073,45418924965,6.85721955
8,Bahrain,BHR,asia,6.647,79.7054,8.14,1.194599986,26856739735,35042942340,1.823125727
9,Bangladesh,BGD,asia,5.155,71.7484,3.52,4.387400055,2.43706E+11,2.85337E+11,5.709098782
10,Belarus,BLR,europe,5.821,73.99658537,23.16,5.250000095,46461531799,56668979386,8.374673188
11,Belgium,BEL,europe,6.805,81.50292683,18.76,6.941999912,4.14094E+11,5.04059E+11,1.630247446
12,Benin,BEN,africa,4.623,59.8732,7.96,1.683800006,11425979248,12912995417,0.226785042
13,Bolivia,BOL,americas,5.6,67.6472,6.38,3.519999981,31366880759,37126587477,2.923437541
15,Botswana,BWA,africa,3.471,65.3842,17.54,21.56939964,12296763481,15689265956,3.039230079
16,Brazil,BRA,americas,6.293,74.8096,6.48,11.42200012,1.62634E+12,1.89033E+12,5.722648879
17,Bulgaria,BGR,europe,5.371,74.86341463,9.84,6.462000084,49409904160,59842950818,1.415317447
18,Burkina Faso,BFA,africa,4.67,59.5586,7.72,4.540200043,12200703809,14168141305,0.274286618
19,Cambodia,KHM,asia,4.64,70.373,5,0.308000005,18786419945,22381009185,2.311473488
20,Cameroon,CMR,africa,5.048,60.693,9.12,3.596200037,29347365226,36353587470,1.543499629
21,Canada,CAN,americas,7.025,81.9595122,12.34,6.347999954,1.33319E+12,1.64022E+12,1.673675947
22,Chad,TCD,africa,4.251,52.4128,6.64,1.109399986,7785416748,10720536841,1.070053861
23,Chile,CHL,americas,6.172,80.1268,9.42,6.946000004,2.13031E+11,2.6843E+11,3.062024026
24,China,CHN,asia,5.585,77.431,8.12,4.480000114,9.44229E+12,1.2556E+13,2.000837239
25,Colombia,COL,americas,5.781,76.5748,4.18,8.98599987,2.57018E+11,3.091E+11,4.716238663
28,Costa Rica,CRI,americas,6.582,79.3666,7.16,9.372000122,54198816816,60528562494,1.34551421
29,Croatia,HRV,europe,6.125,77.92390244,16.5,11.10800018,46986554545,56721787651,0.362363691
30,Cyprus,CYP,europe,6.221,81.2258,4.16,10.86999998,19408920088,23088769470,-0.261707134
32,Denmark,DNK,europe,7.636,81.01268293,11.04,5.65,2.83347E+11,3.3025E+11,0.684181473
33,Dominican Republic,DOM,americas,5.737,73.1624,5.72,6.588000107,72221551919,80272839769,2.221101479
34,Ecuador,ECU,americas,5.533,76.983,8.54,3.879999924,81429305153,1.03839E+11,1.230831145
35,"Egypt, Arab Rep.",EGY,africa,4.288,71.0708,3.1,10.97199993,2.56882E+11,2.90067E+11,15.44899406
36,El Salvador,SLV,americas,6.12,72.2528,6.16,4.198000049,20462612184,25102170000,0.410134555
37,Estonia,EST,europe,6.341,78.04292683,16.1,5.706000042,22295188240,27118919715,1.757436118
38,Eswatini,SWZ,africa,4.396,57.9066,31.24,22.88619995,3358320838,4288547704,5.286594539
39,Ethiopia,ETH,africa,4.241,64.8258,5.44,2.301000023,65164026333,80167736877,11.30536316
40,Finland,FIN,europe,7.821,81.65170732,15.32,8.178000069,2.08378E+11,2.55035E+11,0.602137124
41,France,FRA,europe,6.687,82.59463415,14.66,9.448000144,2.18876E+12,2.60543E+12,0.8424404
42,Gabon,GAB,africa,4.958,66.072,8.92,20.69880066,9766551942,15415643791,2.326694371
43,"Gambia, The",GMB,africa,5.164,63.0594,4.9,9.484799957,1158688946,1570389083,7.141616381
44,Georgia,GEO,europe,4.973,73.4494,9.88,14.25799999,13238245852,16281196954,3.928393106
45,Germany,DEU,europe,7.034,80.96195122,12.82,3.801999998,3.10843E+12,3.67619E+12,1.13870008
46,Ghana,GHA,africa,4.872,63.988,6.94,5.029799938,46660750932,60322988545,12.38578619
48,Guatemala,GTM,americas,6.262,72.5728,5.8,2.403999996,59588092018,70078498342,3.742708945
50,Honduras,HND,americas,6.022,72.6924,2.44,5.952000046,20002130212,22998275597,3.706005047
52,Hungary,HUN,europe,6.086,75.96682927,18.08,4.642000008,1.15211E+11,1.4429E+11,1.774040344
54,India,IND,asia,3.777,70.368,12.34,5.363199902,2.20399E+12,2.51687E+12,4.170339072
55,Indonesia,IDN,asia,5.24,70.0578,2.4,4.142000103,7.8316E+11,9.93944E+11,3.985331485
56,"Iran, Islamic Rep.",IRN,asia,4.888,75.7986,5.88,11.78999977,2.79916E+11,3.93645E+11,17.13929907
57,Iraq,IRQ,asia,4.941,70.3862,3.86,12.07880001,1.51716E+11,1.96319E+11,0.460477339
58,Ireland,IRL,europe,7.041,82.03414634,9.76,7.13599987,1.87071E+11,3.42461E+11,0.297274694
59,Israel,ISR,asia,7.364,82.52341463,5.1,4.413999987,3.01315E+11,3.52585E+11,0.145196026
60,Italy,ITA,europe,6.467,83.11560976,6.84,11.07199974,1.61425E+12,1.95575E+12,0.584008298
62,Jamaica,JAM,americas,5.85,71.977,2.28,11.02400007,13281619510,14927319548,3.612540349
63,Japan,JPN,asia,6.039,84.08917073,17.12,2.820000028,3.84952E+12,4.90812E+12,0.522018268
64,Jordan,JOR,asia,4.152,75.5092,1.54,16.31599979,38633817007,41690571586,1.378487557
65,Kazakhstan,KAZ,asia,6.234,72.732,20.46,4.888000011,1.21517E+11,1.69896E+11,7.983282408
66,Kenya,KEN,africa,4.543,62.431,5.72,3.66180005,67954859317,83910858367,6.162146895
68,Kuwait,KWT,asia,6.106,79.6902,2.72,2.177800036,1.16402E+11,1.23815E+11,2.055382718
69,Kyrgyz Republic,KGZ,asia,5.828,71.1604878,8.44,7.092800045,5916211876,7667267984,2.548750116
71,Latvia,LVA,europe,6.18,74.77219512,20.5,8.390000057,23758424419,30920695717,1.718220429
73,Lesotho,LSO,africa,3.512,52.867,81.34,23.1538002,2222963715,2357681286,4.840307205
76,Lithuania,LTU,europe,6.446,75.28731707,30.18,7.292000103,40263157695,48148900215,1.755350693
77,Luxembourg,LUX,europe,7.404,82.40146341,10.82,5.932000065,37046950231,65765330321,1.153578417
78,Madagascar,MDG,africa,4.339,65.1164,5.5,1.823599982,10297216789,12842529154,7.250749016
79,Malawi,MWI,africa,3.75,62.7918,5.84,5.790199947,7006144858,8331168682,15.38257377
80,Malaysia,MYS,asia,5.711,75.4526,5.28,3.301999998,2.31556E+11,3.29138E+11,1.922751716
81,Mali,MLI,africa,4.479,59.0566,4.16,7.515999985,13107472908,15369528449,0.010436099
83,Mauritania,MRT,africa,4.153,65.0666,3.06,10.30339985,6108063549,6981083050,2.469550375
84,Mauritius,MUS,africa,6.071,74.38297561,8.76,6.745999908,12678338275,13497399926,1.910586178
85,Mexico,MEX,americas,6.128,74.2898,5.56,3.669999981,9.25078E+11,1.18014E+12,4.023823462
86,Moldova,MDA,europe,5.857,70.22,15.22,4.405999947,9003618852,9783048240,6.097723355
87,Mongolia,MNG,asia,5.761,70.5242,19.16,5.855800057,9082752211,12333308814,4.979140707
89,Morocco,MAR,africa,5.06,73.624,7.22,9.309399986,96698297267,1.19358E+11,1.211036851
91,Myanmar,MMR,asia,4.394,66.0328,3.04,0.975399995,56039508978,64125783874,7.330585866
93,Nepal,NPL,asia,5.377,68.7358,8.7,3.115199995,27387710769,29030839935,5.98323945
94,Netherlands,NLD,europe,7.415,81.75121951,11.8,4.986000061,7.01557E+11,8.41548E+11,1.327114115
95,New Zealand,NZL,asia,7.2,81.65873171,11.8,4.747999954,1.6426E+11,1.99783E+11,1.201532305
96,Nicaragua,NIC,americas,6.165,73.5394,4.38,4.462199926,11287383439,13090115218,4.338950399
97,Niger,NER,africa,5.003,62.0446,5.32,0.540999997,11472316626,11398589646,0.87039661
98,Nigeria,NGA,africa,4.552,52.3306,3.6,7.349200058,3.54979E+11,4.28656E+11,12.93995885
100,North Macedonia,MKD,europe,5.199,76.00146341,9.32,22.03399963,9174777645,11466690837,0.607432038
101,Norway,NOR,europe,7.365,82.60780488,12.2,4.125999975,3.23226E+11,3.98993E+11,2.505759726
102,Pakistan,PAK,asia,4.516,66.2224,9,3.777399969,2.67812E+11,3.20086E+11,5.207248015
104,Panama,PAN,americas,6.309,77.7178,3.04,3.731599951,52682693656,61223200000,0.431861308
105,Paraguay,PRY,americas,5.578,73.5116,5.82,5.446000004,33656076420,37889812841,3.510202079
106,Peru,PER,americas,5.559,75.8908,2.72,3.514000034,1.7535E+11,2.08726E+11,2.742289037
107,Philippines,PHL,asia,5.904,71.545,2.22,2.579999971,3.391E+11,3.35444E+11,2.496498205
108,Poland,POL,europe,6.123,77.71268293,13.4,5.135999918,4.48845E+11,5.31324E+11,0.915494541
109,Portugal,PRT,europe,6.016,81.33463414,11.96,9.165999793,1.77574E+11,2.21896E+11,0.759168782
110,Romania,ROU,europe,6.477,75.2795122,10.34,5.148000002,1.73794E+11,2.1353E+11,1.530681373
111,Russian Federation,RUS,europe,5.459,72.20643902,28.68,5.138000012,1.17772E+12,1.51298E+12,6.721769194
112,Rwanda,RWA,africa,3.268,65.9328,5.64,1.127600002,7453446828,9296381031,4.203809795
113,Saudi Arabia,SAU,asia,6.523,77.1316,6.18,5.768599987,5.87589E+11,7.21597E+11,0.56030545
114,Senegal,SEN,africa,5.046,67.7498,6.2,4.209000063,18185542618,20865470695,0.902040169
117,Singapore,SGP,asia,6.48,83.11560976,9.54,3.762599897,2.59075E+11,3.445E+11,0.105050818
118,Slovak Republic,SVK,europe,6.391,77.16536585,12.26,8.313999938,78268260961,97272309783,1.129062874
119,Slovenia,SVN,europe,6.63,81.17756098,19.7,6.615999985,38366504853,48994559953,0.843537367
120,South Africa,ZAF,africa,5.194,65.1896,24.34,26.82200012,3.02916E+11,3.68887E+11,4.986739289
122,Spain,ESP,europe,6.476,83.34146342,7.88,17.65199966,1.1103E+12,1.3118E+12,0.725522597
123,Sri Lanka,LKA,asia,4.362,75.4834,14.5,4.296000004,76142409861,90207662081,4.218965059
124,Sweden,SWE,europe,7.384,82.51804878,14.98,6.865999889,4.4897E+11,5.30223E+11,1.293933964
125,Switzerland,CHE,europe,7.512,83.54195122,14.54,4.724000072,5.44408E+11,7.0483E+11,0.05089643
128,Tanzania,TZA,africa,3.702,65.912,4.22,2.18119998,45989243237,53722763175,4.608078189
129,Thailand,THA,asia,5.891,78.3594,8.5,0.722000003,3.58157E+11,4.64371E+11,0.344796555
130,Togo,TGO,africa,4.112,60.049,9.1,3.270800066,5468357113,6188113378,0.900586095
131,Tunisia,TUN,africa,4.516,75.8532,3.16,15.32800007,39600382710,43379376781,5.480657226
134,Uganda,UGA,africa,4.603,62.1108,4.56,1.922199988,25296464547,32123146556,4.397875622
135,Ukraine,UKR,europe,5.084,71.57136585,21.42,8.996000099,1.03147E+11,1.1625E+11,19.1778942
138,United States,USA,americas,6.977,78.63902439,15.44,4.41600008,1.68469E+13,1.96585E+13,1.553022744
139,Uruguay,URY,americas,6.474,77.5596,20.58,8.088000011,48035564477,60098222344,8.002459897
142,Vietnam,VNM,asia,5.485,73.9692,7.64,1.753999996,1.78122E+11,2.84436E+11,2.631031539
144,Zambia,ZMB,africa,3.76,62.0514,8.22,11.43140011,18444390991,23540697735,10.24050458
